config,performance,traffic
sys SO store 8B sync 4KB n 2 link 75,1.0892358210674886,1.9961089494163424
sys SO store 8B sync 4KB n 2 link 100,1.1078655336882652,1.9961089494163424
sys SO store 8B sync 4KB n 2 link 125,1.1254650819781329,1.9961089494163424
sys SO store 8B sync 4KB n 2 link 150,1.1369793700955153,1.9961089494163424
sys SO store 8B sync 4KB n 2 link 175,1.1450124698542303,1.9961089494163424
sys SO store 8B sync 4KB n 2 link 200,1.1515135230579077,1.9961089494163424
sys MP store 8B sync 4KB n 2 link 25,1.0,1.0
sys MP store 8B sync 4KB n 2 link 50,1.0,1.0
sys MP store 8B sync 4KB n 2 link 75,1.0,1.0
sys MP store 8B sync 4KB n 2 link 100,1.0,1.0
sys MP store 8B sync 4KB n 2 link 125,1.0,1.0
sys MP store 8B sync 4KB n 2 link 150,1.0,1.0
sys MP store 8B sync 4KB n 2 link 175,1.0,1.0
sys MP store 8B sync 4KB n 2 link 200,1.0,1.0
sys DO store 64B sync 4KB n 2 link 25,1.0,1.0
sys DO store 64B sync 4KB n 2 link 50,1.0,1.0
sys DO store 64B sync 4KB n 2 link 75,1.0,1.0
sys DO store 64B sync 4KB n 2 link 100,1.0,1.0
sys DO store 64B sync 4KB n 2 link 125,1.0,1.0
sys DO store 64B sync 4KB n 2 link 150,1.0,1.0
sys DO store 64B sync 4KB n 2 link 175,1.0,1.0
sys DO store 64B sync 4KB n 2 link 200,1.0,1.0
sys SO store 64B sync 4KB n 2 link 25,1.3022284122562675,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 50,1.4030278453636118,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 75,1.4935439848834768,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 100,1.5832057172026544,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 125,1.6643658754593307,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 150,1.7391409033997882,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 175,1.7847292451962857,1.1987577639751552
sys SO store 64B sync 4KB n 2 link 200,1.8352100476396709,1.1987577639751552
sys MP store 64B sync 4KB n 2 link 25,1.0,1.0
sys MP store 64B sync 4KB n 2 link 50,1.0,1.0
sys MP store 64B sync 4KB n 2 link 75,1.0,1.0
sys MP store 64B sync 4KB n 2 link 100,1.0,1.0
sys MP store 64B sync 4KB n 2 link 125,1.0,1.0
sys MP store 64B sync 4KB n 2 link 150,1.0,1.0
sys MP store 64B sync 4KB n 2 link 175,1.0,1.0
sys MP store 64B sync 4KB n 2 link 200,1.0,1.0
sys DO store 256B sync 4KB n 2 link 25,1.0,1.0
sys DO store 256B sync 4KB n 2 link 50,1.0,1.0
sys DO store 256B sync 4KB n 2 link 75,1.0,1.0
sys DO store 256B sync 4KB n 2 link 100,1.0,1.0
sys DO store 256B sync 4KB n 2 link 125,1.0,1.0
sys DO store 256B sync 4KB n 2 link 150,1.0,1.0
sys DO store 256B sync 4KB n 2 link 175,1.0,1.0
sys DO store 256B sync 4KB n 2 link 200,1.0,1.0
sys SO store 256B sync 4KB n 2 link 25,1.4451918285999004,1.0583941605839415
sys SO store 256B sync 4KB n 2 link 50,1.5847033595425304,1.0583941605839415
sys SO store 256B sync 4KB n 2 link 75,1.715799100678302,1.0583941605839415
sys SO store 256B sync 4KB n 2 link 100,1.8402379903040986,1.0583941605839415
sys SO store 256B sync 4KB n 2 link 125,1.9389199518720361,1.0583941605839415
sys SO store 256B sync 4KB n 2 link 150,2.042056074766355,1.0583941605839415
sys SO store 256B sync 4KB n 2 link 175,2.142071133818039,1.0583941605839415
sys SO store 256B sync 4KB n 2 link 200,2.228309636650869,1.0583941605839415
sys MP store 256B sync 4KB n 2 link 25,1.0,1.0
sys MP store 256B sync 4KB n 2 link 50,1.0,1.0
sys MP store 256B sync 4KB n 2 link 75,1.0,1.0
sys MP store 256B sync 4KB n 2 link 100,1.0,1.0
sys MP store 256B sync 4KB n 2 link 125,1.0,1.0
sys MP store 256B sync 4KB n 2 link 150,1.0,1.0
sys MP store 256B sync 4KB n 2 link 175,1.0,1.0
sys MP store 256B sync 4KB n 2 link 200,1.0,1.0
sys DO store 1KB sync 4KB n 2 link 25,1.0,1.0
sys DO store 1KB sync 4KB n 2 link 50,1.0,1.0
sys DO store 1KB sync 4KB n 2 link 75,1.0,1.0
sys DO store 1KB sync 4KB n 2 link 100,1.0,1.0
sys DO store 1KB sync 4KB n 2 link 125,1.0,1.0
sys DO store 1KB sync 4KB n 2 link 150,1.0,1.0
sys DO store 1KB sync 4KB n 2 link 175,1.0,1.0
sys DO store 1KB sync 4KB n 2 link 200,1.0,1.0
sys SO store 1KB sync 4KB n 2 link 25,1.5123190489885916,1.015267175572519
sys SO store 1KB sync 4KB n 2 link 50,1.6719890510948905,1.015267175572519
sys SO store 1KB sync 4KB n 2 link 75,1.821400540681957,1.015267175572519
sys SO store 1KB sync 4KB n 2 link 100,1.9574734731389423,1.015267175572519
sys SO store 1KB sync 4KB n 2 link 125,2.0976654010824785,1.015267175572519
sys SO store 1KB sync 4KB n 2 link 150,2.2172561212592306,1.015267175572519
sys SO store 1KB sync 4KB n 2 link 175,2.332607716559075,1.015267175572519
sys SO store 1KB sync 4KB n 2 link 200,2.428045346234385,1.015267175572519
sys MP store 1KB sync 4KB n 2 link 25,1.0,1.0
sys MP store 1KB sync 4KB n 2 link 50,1.0,1.0
sys MP store 1KB sync 4KB n 2 link 75,1.0,1.0
sys MP store 1KB sync 4KB n 2 link 100,1.0,1.0
sys MP store 1KB sync 4KB n 2 link 125,1.0,1.0
sys MP store 1KB sync 4KB n 2 link 150,1.0,1.0
sys MP store 1KB sync 4KB n 2 link 175,1.0,1.0
sys MP store 1KB sync 4KB n 2 link 200,1.0,1.0
sys DO store 4KB sync 4KB n 2 link 25,1.0,1.0
sys DO store 4KB sync 4KB n 2 link 50,1.0,1.0
sys DO store 4KB sync 4KB n 2 link 75,1.0,1.0
sys DO store 4KB sync 4KB n 2 link 100,1.0,1.0
sys DO store 4KB sync 4KB n 2 link 125,1.0,1.0
sys DO store 4KB sync 4KB n 2 link 150,1.0,1.0
sys DO store 4KB sync 4KB n 2 link 175,1.0,1.0
sys DO store 4KB sync 4KB n 2 link 200,1.0,1.0
sys SO store 4KB sync 4KB n 2 link 25,1.5433433433433434,1.0038610038610039
sys SO store 4KB sync 4KB n 2 link 50,1.7215675002395325,1.0038610038610039
sys SO store 4KB sync 4KB n 2 link 75,1.8832491968793024,1.0038610038610039
sys SO store 4KB sync 4KB n 2 link 100,2.0336771577184165,1.0038610038610039
sys SO store 4KB sync 4KB n 2 link 125,2.1749469214437367,1.0038610038610039
sys SO store 4KB sync 4KB n 2 link 150,2.3010541799460653,1.0038610038610039
sys SO store 4KB sync 4KB n 2 link 175,2.421791233049511,1.0038610038610039
sys SO store 4KB sync 4KB n 2 link 200,2.5335465691874193,1.0038610038610039
sys MP store 4KB sync 4KB n 2 link 25,1.0,1.0
sys MP store 4KB sync 4KB n 2 link 50,1.0,1.0
sys MP store 4KB sync 4KB n 2 link 75,1.0,1.0
sys MP store 4KB sync 4KB n 2 link 100,1.0,1.0
sys MP store 4KB sync 4KB n 2 link 125,1.0,1.0
sys MP store 4KB sync 4KB n 2 link 150,1.0,1.0
sys MP store 4KB sync 4KB n 2 link 175,1.0,1.0
sys MP store 4KB sync 4KB n 2 link 200,1.0,1.0
